,category,area,Type of use,Type of institution
2096,dendro_sada,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
2097,dendro_sada,Forestry,Data Analysis,NGO
2098,dendro_sada,Forestry,Data Analysis,Center Research
2100,dendro_sada,Environmental,Research,NGO
2101,dendro_sada,Agro/Agroindustry/Irrigation,Teaching,Other educational institutions
2102,dendro_sada,Forestry,Teaching,NGO
2103,dendro_sada,Geografy/Geophysics/Geology,Teaching,Universities
2104,dendro_sada,Environmental,Research,NGO
2105,dendro_sada,Geografy/Geophysics/Geology,Data Analysis,Independent
2106,dendro_sada,History,Research,Universities
2107,dendro_sada,Ecology,Research,Universities
2108,dendro_sada,Ecology,Teaching,Other educational institutions
2109,dendro_sada,Ecology,Data Analysis,Universities
2110,dendro_sada,Forestry,Engineering projects,Public sector (state agencies)
2111,dendro_sada,Environmental,Research,Private sector (companies)
2113,dendro_sada,Forestry,Research,Universities
2114,dendro_sada,Forestry,Research,Universities
2115,dendro_sada,Forestry,Research,Public sector (state agencies)
2116,dendro_sada,Geografy/Geophysics/Geology,Data Analysis,Universities
2117,dendro_sada,Ecology,Research,Universities
2118,dendro_sada,Hidrology,Research,Universities
2119,dendro_sada,Oceanography,Research,Center Research
2120,dendro_sada,Environmental,Data Analysis,NGO
2121,dendro_sada,Forestry,Data Analysis,Universities
2122,dendro_sada,Education,Research,Universities
2123,dendro_sada,Forestry,Teaching,Universities
2125,dendro_sada,Forestry,Research,Universities
2126,dendro_sada,Education,Teaching,Universities
2127,dendro_sada,Tourism,Research,Independent
2128,dendro_sada,Environmental,Research,Universities
2129,mma simulation,Environmental,Research,NGO
2130,mma simulation,Environmental,Research,NGO
2131,mma simulation,Hidrology,Research,Universities
2132,mma simulation,Environmental,Data Analysis,Universities
2133,mma simulation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
2134,mma simulation,Hidrology,Data Analysis,Universities
2135,mma simulation,Environmental,Data Analysis,Universities
2136,mma simulation,Agro/Agroindustry/Irrigation,Research,Universities
2137,mma simulation,Hidrology,Research,Center Research
2138,mma simulation,Energy,Research,Universities
2139,mma simulation,Environmental,Research,Universities
2140,mma simulation,Hidrology,Research,Universities
2141,mma simulation,Geografy/Geophysics/Geology,Research,Universities
2142,mma simulation,Hidrology,Research,Universities
2143,mma simulation,Environmental,Data Analysis,Universities
2144,mma simulation,Hidrology,Teaching,Universities
2145,mma simulation,Hidrology,Research,Universities
2146,mma simulation,Environmental,Research,Universities
2147,mma simulation,Environmental,Research,Universities
2148,mma simulation,Meteorology,Research,Center Research
2149,mma simulation,Geografy/Geophysics/Geology,Research,Universities
2150,mma simulation,Building/Architecture,Research,Universities
2151,mma simulation,Energy,Research,Universities
2152,mma simulation,Geografy/Geophysics/Geology,Research,Center Research
2153,mma simulation,Hidrology,Research,Universities
2154,mma simulation,Meteorology,Engineering projects,Private sector (companies)
2155,mma simulation,Geografy/Geophysics/Geology,Research,Universities
2156,mma simulation,Geografy/Geophysics/Geology,Data Analysis,Public sector (state agencies)
2157,mma simulation,Geografy/Geophysics/Geology,Research,Universities
2158,mma simulation,Environmental,Research,Universities
2159,mma simulation,Hidrology,Research,Universities
2160,mma simulation,Environmental,Research,Universities
2161,mma simulation,Meteorology,Data Analysis,Private sector (companies)
2162,mma simulation,Forestry,Research,Universities
2163,mma simulation,Hidrology,Research,Universities
2164,mma simulation,Geografy/Geophysics/Geology,Data Analysis,Public sector (state agencies)
2165,mma simulation,Hidrology,Research,Universities
2166,mma simulation,Meteorology,Research,Universities
2167,mma simulation,Hidrology,Research,Universities
2168,mma simulation,Hidrology,Engineering projects,Private sector (companies)
2169,mma simulation,Ecology,Data Analysis,Universities
2170,mma simulation,Hidrology,Engineering projects,Private sector (companies)
2171,mma simulation,Hidrology,Engineering projects,Private sector (companies)
2172,mma simulation,Hidrology,Engineering projects,Private sector (companies)
2173,mma simulation,Mining,Research,Universities
2174,regional simulation,Education,Data Analysis,Universities
2175,regional simulation,Meteorology,Research,Universities
2176,regional simulation,Forestry,Data Analysis,Public sector (state agencies)
2177,regional simulation,GIS/Teledetection,Research,Universities
2178,regional simulation,Environmental,Research,Universities
2179,regional simulation,Environmental,Research,Universities
2180,regional simulation,Oceanography,Research,Universities
2181,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2182,regional simulation,Environmental,Data Analysis,Independent
2183,regional simulation,Ecology,Data Analysis,Universities
2184,regional simulation,Environmental,Data Analysis,NGO
2185,regional simulation,Forestry,Research,Universities
2188,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
2189,regional simulation,Building/Architecture,Data Analysis,Universities
2190,regional simulation,Forestry,Data Analysis,Universities
2191,regional simulation,Environmental,Research,Universities
2192,regional simulation,Building/Architecture,Research,Universities
2193,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2194,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
2195,regional simulation,Environmental,Data Analysis,Universities
2196,regional simulation,Hidrology,Research,Universities
2197,regional simulation,Meteorology,Data Analysis,Public sector (state agencies)
2198,regional simulation,Public politics,Data Analysis,Public sector (state agencies)
2200,regional simulation,Environmental,Data Analysis,Universities
2201,regional simulation,Hidrology,Research,Universities
2202,regional simulation,Environmental,Research,Universities
2203,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2204,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2206,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2207,regional simulation,Hidrology,Teaching,Universities
2208,regional simulation,Hidrology,Data Analysis,Universities
2209,regional simulation,Meteorology,Research,Center Research
2210,regional simulation,Environmental,Research,Universities
2211,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
2212,regional simulation,Building/Architecture,Data Analysis,Universities
2213,regional simulation,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
2214,regional simulation,Hidrology,Data Analysis,Private sector (companies)
2215,regional simulation,Environmental,Teaching,Other educational institutions
2216,regional simulation,Environmental,Teaching,Other educational institutions
2217,regional simulation,Geografy/Geophysics/Geology,Research,NGO
2218,regional simulation,Environmental,Engineering projects,Public sector (state agencies)
2219,regional simulation,Environmental,Research,Universities
2220,regional simulation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
2222,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
2223,regional simulation,Forestry,Research,Universities
2224,regional simulation,Forestry,Research,Universities
2225,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2226,regional simulation,Forestry,Research,Universities
2227,regional simulation,Communications,Data Analysis,Universities
2228,regional simulation,Environmental,Data Analysis,Universities
2229,regional simulation,Hidrology,Teaching,Universities
2230,regional simulation,Hidrology,Data Analysis,Universities
2231,regional simulation,Energy,Research,Universities
2232,regional simulation,Industrial,Research,Universities
2233,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
2234,regional simulation,Environmental,Research,Universities
2235,regional simulation,Geografy/Geophysics/Geology,Data Analysis,Universities
2236,regional simulation,Environmental,Research,Universities
2237,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2238,regional simulation,Fishing/Aquaculture,Research,Universities
2239,regional simulation,Oceanography,Research,Universities
2240,regional simulation,Agro/Agroindustry/Irrigation,Research,Public sector (state agencies)
2241,regional simulation,Medicine,Research,Universities
2242,regional simulation,Environmental,Research,Universities
2243,regional simulation,Forestry,Research,Universities
2244,regional simulation,Geografy/Geophysics/Geology,Research,Universities
2245,regional simulation,Hidrology,Data Analysis,Universities
2246,regional simulation,Geografy/Geophysics/Geology,Data Analysis,Universities
2247,regional simulation,Hidrology,Research,Universities
2248,regional simulation,Geografy/Geophysics/Geology,Teaching,Universities
2249,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
2250,regional simulation,Tourism,Research,Universities
2251,regional simulation,Sanitary Services,Research,NGO
2252,regional simulation,Geografy/Geophysics/Geology,Data Analysis,Universities
2254,regional simulation,Mathematics/Statistics/Modeling,Engineering projects,Universities
2255,regional simulation,Industrial,Engineering projects,Private sector (companies)
2256,regional simulation,Environmental,Data Analysis,Private sector (companies)
2257,regional simulation,Hidrology,Research,Universities
2258,regional simulation,Forestry,Data Analysis,Universities
2259,regional simulation,Economy/Sales/trends markets,Research,Center Research
2260,regional simulation,Hidrology,Research,Universities
2261,regional simulation,Forestry,Data Analysis,Independent
2262,regional simulation,Meteorology,Teaching,Universities
2263,regional simulation,Education,Data Analysis,Universities
2264,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
2265,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
2266,regional simulation,Forestry,Research,Universities
2267,regional simulation,Forestry,Research,Universities
2268,regional simulation,Agro/Agroindustry/Irrigation,Engineering projects,Public sector (state agencies)
2269,regional simulation,Meteorology,Data Analysis,Public sector (state agencies)
2270,regional simulation,Hidrology,Research,Universities
2271,regional simulation,Mining,Research,Universities
2272,regional simulation,Hidrology,Data Analysis,Universities
